Spacecraft: GroundStatSat

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
01 Jul 2024 20:00:55.508    01 Jul 2024 20:01:14.202      18.694245501    Earth           Penumbra    1             1488.9057238
01 Jul 2024 20:01:14.202    01 Jul 2024 20:25:25.336      1451.1339119    Earth           Umbra       1             1488.9057238
01 Jul 2024 20:25:25.336    01 Jul 2024 20:25:44.413      19.077566382    Earth           Penumbra    1             1488.9057238
01 Jul 2024 21:35:52.126    01 Jul 2024 21:36:10.823      18.696958094    Earth           Penumbra    2             1488.7151693
01 Jul 2024 21:36:10.823    01 Jul 2024 22:00:21.760      1450.9377317    Earth           Umbra       2             1488.7151693
01 Jul 2024 22:00:21.760    01 Jul 2024 22:00:40.841      19.080479513    Earth           Penumbra    2             1488.7151693
01 Jul 2024 23:10:48.735    01 Jul 2024 23:11:07.436      18.700467492    Earth           Penumbra    3             1488.5233154
01 Jul 2024 23:11:07.436    01 Jul 2024 23:35:18.174      1450.7385230    Earth           Umbra       3             1488.5233154
01 Jul 2024 23:35:18.174    01 Jul 2024 23:35:37.259      19.084324921    Earth           Penumbra    3             1488.5233154
02 Jul 2024 00:45:45.462    02 Jul 2024 00:46:04.167      18.704660540    Earth           Penumbra    4             1488.3173626
02 Jul 2024 00:46:04.167    02 Jul 2024 01:10:14.691      1450.5241844    Earth           Umbra       4             1488.3173626
02 Jul 2024 01:10:14.691    02 Jul 2024 01:10:33.779      19.088517653    Earth           Penumbra    4             1488.3173626
02 Jul 2024 02:20:42.317    02 Jul 2024 02:21:01.026      18.708608416    Earth           Penumbra    5             1488.0996460
02 Jul 2024 02:21:01.026    02 Jul 2024 02:45:11.324      1450.2988242    Earth           Umbra       5             1488.0996460
02 Jul 2024 02:45:11.324    02 Jul 2024 02:45:30.417      19.092213444    Earth           Penumbra    5             1488.0996460
02 Jul 2024 03:55:39.138    02 Jul 2024 03:55:57.851      18.712248886    Earth           Penumbra    6             1487.8789139
02 Jul 2024 03:55:57.851    02 Jul 2024 04:20:07.922      1450.0709063    Earth           Umbra       6             1487.8789139
02 Jul 2024 04:20:07.922    02 Jul 2024 04:20:27.017      19.095758675    Earth           Penumbra    6             1487.8789139
02 Jul 2024 05:30:35.781    02 Jul 2024 05:30:54.498      18.716454820    Earth           Penumbra    7             1487.6492622
02 Jul 2024 05:30:54.498    02 Jul 2024 05:55:04.330      1449.8324778    Earth           Umbra       7             1487.6492622
02 Jul 2024 05:55:04.330    02 Jul 2024 05:55:23.430      19.100329536    Earth           Penumbra    7             1487.6492622
02 Jul 2024 07:05:32.296    02 Jul 2024 07:05:51.017      18.721547455    Earth           Penumbra    8             1487.4061139
02 Jul 2024 07:05:51.017    02 Jul 2024 07:30:00.596      1449.5785363    Earth           Umbra       8             1487.4061139
02 Jul 2024 07:30:00.596    02 Jul 2024 07:30:19.702      19.106030068    Earth           Penumbra    8             1487.4061139
02 Jul 2024 08:40:28.835    02 Jul 2024 08:40:47.561      18.726615258    Earth           Penumbra    9             1487.1730056
02 Jul 2024 08:40:47.561    02 Jul 2024 09:04:56.896      1449.3350859    Earth           Umbra       9             1487.1730056
02 Jul 2024 09:04:56.896    02 Jul 2024 09:05:16.008      19.111304381    Earth           Penumbra    9             1487.1730056
02 Jul 2024 10:15:25.461    02 Jul 2024 10:15:44.191      18.730687606    Earth           Penumbra    10            1486.9738459
02 Jul 2024 10:15:44.191    02 Jul 2024 10:39:53.320      1449.1281729    Earth           Umbra       10            1486.9738459
02 Jul 2024 10:39:53.320    02 Jul 2024 10:40:12.434      19.114985398    Earth           Penumbra    10            1486.9738459
02 Jul 2024 11:50:22.134    02 Jul 2024 11:50:40.868      18.734067190    Earth           Penumbra    11            1486.7872959
02 Jul 2024 11:50:40.868    02 Jul 2024 12:14:49.803      1448.9350862    Earth           Umbra       11            1486.7872959
02 Jul 2024 12:14:49.803    02 Jul 2024 12:15:08.921      19.118142442    Earth           Penumbra    11            1486.7872959
02 Jul 2024 13:25:18.820    02 Jul 2024 13:25:37.558      18.738075416    Earth           Penumbra    12            1486.5694652
02 Jul 2024 13:25:37.558    02 Jul 2024 13:49:46.266      1448.7085353    Earth           Umbra       12            1486.5694652
02 Jul 2024 13:49:46.266    02 Jul 2024 13:50:05.389      19.122854434    Earth           Penumbra    12            1486.5694652
