Target: GroundStatSat

Observer: BroncoSpace
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Jul 2024 03:49:07.830    02 Jul 2024 03:53:11.059      243.22845654    
02 Jul 2024 15:58:32.603    02 Jul 2024 16:03:05.878      273.27517580    
03 Jul 2024 03:34:33.426    03 Jul 2024 03:36:17.276      103.85015085    
03 Jul 2024 15:42:35.773    03 Jul 2024 15:47:38.434      302.66164698    
04 Jul 2024 04:51:54.219    04 Jul 2024 04:55:25.057      210.83780418    
04 Jul 2024 15:26:56.875    04 Jul 2024 15:31:53.931      297.05528249    
05 Jul 2024 04:35:40.804    05 Jul 2024 04:40:19.295      278.49079514    
05 Jul 2024 15:11:36.531    05 Jul 2024 15:15:51.864      255.33264871    
06 Jul 2024 04:19:46.018    06 Jul 2024 04:24:48.256      302.23762117    
06 Jul 2024 14:56:47.794    06 Jul 2024 14:59:19.339      151.54491422    
07 Jul 2024 04:04:05.087    07 Jul 2024 04:08:56.819      291.73126911    
07 Jul 2024 16:14:31.654    07 Jul 2024 16:17:44.748      193.09373614    
08 Jul 2024 03:48:41.126    08 Jul 2024 03:52:41.931      240.80584188    
08 Jul 2024 15:57:59.890    08 Jul 2024 16:02:34.515      274.62438927    
09 Jul 2024 03:34:01.526    09 Jul 2024 03:35:36.218      94.691823819    
09 Jul 2024 15:41:54.881    09 Jul 2024 15:46:58.410      303.52862139    
10 Jul 2024 04:51:08.694    10 Jul 2024 04:54:39.980      211.28551316    
10 Jul 2024 15:26:08.088    10 Jul 2024 15:31:05.043      296.95486153    
11 Jul 2024 04:34:47.113    11 Jul 2024 04:39:25.326      278.21310572    
11 Jul 2024 15:10:40.332    11 Jul 2024 15:14:53.707      253.37533088    
12 Jul 2024 04:18:44.329    12 Jul 2024 04:23:45.172      300.84319068    
12 Jul 2024 14:55:46.148    12 Jul 2024 14:58:10.029      143.88037277    
13 Jul 2024 04:02:55.743    13 Jul 2024 04:07:44.216      288.47320899    
13 Jul 2024 16:13:12.924    13 Jul 2024 16:16:33.533      200.60936721    
14 Jul 2024 03:47:25.041    14 Jul 2024 03:51:18.830      233.78881157    
14 Jul 2024 15:56:34.835    14 Jul 2024 16:01:12.915      278.07961124    
15 Jul 2024 03:32:49.925    15 Jul 2024 03:33:51.320      61.394433200    
15 Jul 2024 15:40:22.799    15 Jul 2024 15:45:27.183      304.38398161    
16 Jul 2024 04:49:29.306    16 Jul 2024 04:53:06.238      216.93184802    
16 Jul 2024 15:24:29.144    16 Jul 2024 15:29:24.081      294.93754918    
17 Jul 2024 04:33:00.982    17 Jul 2024 04:37:41.017      280.03465212    
17 Jul 2024 15:08:55.326    17 Jul 2024 15:13:02.269      246.94295623    
18 Jul 2024 04:16:51.050    18 Jul 2024 04:21:50.621      299.57063704    
18 Jul 2024 14:54:00.058    18 Jul 2024 14:56:03.196      123.13777506    
19 Jul 2024 04:00:55.676    19 Jul 2024 04:05:38.980      283.30414159    
19 Jul 2024 16:11:00.213    19 Jul 2024 16:14:33.192      212.97920337    
20 Jul 2024 03:45:19.756    20 Jul 2024 03:49:01.248      221.49241723    
20 Jul 2024 15:54:17.469    20 Jul 2024 15:59:00.563      283.09428807    
21 Jul 2024 05:04:24.714    21 Jul 2024 05:05:18.757      54.043160146    
21 Jul 2024 15:37:59.436    21 Jul 2024 15:43:04.195      304.75895726    
22 Jul 2024 04:46:56.068    22 Jul 2024 04:50:43.139      227.07053146    
22 Jul 2024 15:21:59.919    22 Jul 2024 15:26:50.357      290.43747709    
23 Jul 2024 04:30:22.164    23 Jul 2024 04:35:05.768      283.60371500    
